week,total,five,base_mean,base_std,z,poisson_p,fdr_sig
2023-03-13/2023-03-19,86,53,8.9167,4.757,9.2671,0.0,True
2023-10-02/2023-10-08,104,71,17.25,12.7787,4.2062,0.0,True
2018-09-24/2018-09-30,49,27,2.75,1.9598,12.3736,0.0,True
2023-09-25/2023-10-01,90,56,14.3333,4.3345,9.6128,0.0,True
2023-03-20/2023-03-26,80,50,12.6667,13.5602,2.7532,0.0,True
2019-08-05/2019-08-11,32,21,2.25,4.1588,4.5085,0.0,True
2019-07-29/2019-08-04,28,14,1.5,2.195,5.6947,0.0,True
2020-05-04/2020-05-10,49,36,13.0,4.8053,4.7864,0.0,True
2018-04-23/2018-04-29,40,25,9.6667,14.3611,1.0677,0.0,True
2022-01-24/2022-01-30,49,39,20.1667,4.3866,4.2934,0.0001,True
2024-01-01/2024-01-07,52,35,18.3333,6.2571,2.6636,0.0003,True
2019-09-16/2019-09-22,19,15,5.25,6.7437,1.4458,0.0004,True
2018-10-01/2018-10-07,29,13,4.3333,7.2153,1.2012,0.0006,True
2019-03-11/2019-03-17,18,14,5.25,2.4909,3.5128,0.0011,True
2021-08-30/2021-09-05,53,38,22.1667,5.1845,3.054,0.0014,True
2023-03-27/2023-04-02,52,29,15.8333,17.3091,0.7607,0.0019,False
2024-09-23/2024-09-29,29,19,9.25,3.0189,3.2297,0.0032,False
2020-04-13/2020-04-19,27,23,12.25,4.1806,2.5714,0.0039,False
2019-11-18/2019-11-24,23,17,8.1667,3.3257,2.656,0.0045,False
2023-04-10/2023-04-16,51,32,19.5,16.9196,0.7388,0.0057,False
2022-08-15/2022-08-21,32,26,14.9167,3.6546,3.0327,0.0058,False
2020-06-22/2020-06-28,47,30,18.0,8.3339,1.4399,0.0059,False
2020-01-27/2020-02-02,31,19,9.8333,4.2817,2.1409,0.0061,False
2021-02-01/2021-02-07,63,37,23.9167,8.2513,1.5856,0.0078,False
2025-01-13/2025-01-19,23,12,5.25,3.0785,2.1926,0.0078,False
2025-04-07/2025-04-13,23,17,8.6667,2.6054,3.1985,0.0079,False
2019-09-02/2019-09-08,13,10,4.0833,6.8418,0.8648,0.0093,False
2020-05-11/2020-05-17,35,25,15.1667,8.0773,1.2174,0.0126,False
2023-02-06/2023-02-12,34,17,9.4167,3.3699,2.2503,0.0165,False
2022-03-14/2022-03-20,44,31,20.75,7.5453,1.3585,0.021,False
2023-04-24/2023-04-30,49,33,22.4167,17.0798,0.6196,0.0213,False
2020-02-17/2020-02-23,26,18,10.5,4.338,1.7289,0.0219,False
2025-02-24/2025-03-02,25,12,6.1667,3.7376,1.5607,0.0241,False
2021-05-10/2021-05-16,54,34,23.75,3.9341,2.6054,0.0277,False
2018-03-19/2018-03-25,24,12,6.3333,15.2514,0.3715,0.0287,False
2020-05-25/2020-05-31,29,24,15.8333,8.5688,0.9531,0.0332,False
2019-12-23/2019-12-29,24,15,8.75,3.7929,1.6478,0.0339,False
2025-01-20/2025-01-26,21,11,5.8333,3.639,1.4198,0.0361,False
2020-02-24/2020-03-01,24,18,11.1667,4.8399,1.4119,0.0363,False
2020-07-20/2020-07-26,54,32,22.6667,7.4752,1.2486,0.0372,False
