product_line,quarter,n,neg_share,mean_star,coverage_note
food_handler,2023Q1,3,0.667,2.0,keyword/regulator fallback ~12%; suppress n<10 cells
food_handler,2023Q2,7,0.429,3.29,keyword/regulator fallback ~12%; suppress n<10 cells
food_handler,2023Q3,7,0.286,3.71,keyword/regulator fallback ~12%; suppress n<10 cells
food_handler,2023Q4,7,0.286,3.57,keyword/regulator fallback ~12%; suppress n<10 cells
food_handler,2024Q1,9,0.333,3.56,keyword/regulator fallback ~12%; suppress n<10 cells
food_handler,2024Q2,5,0.6,2.8,keyword/regulator fallback ~12%; suppress n<10 cells
food_handler,2024Q3,4,0.0,4.75,keyword/regulator fallback ~12%; suppress n<10 cells
food_handler,2024Q4,4,1.0,1.0,keyword/regulator fallback ~12%; suppress n<10 cells
food_handler,2025Q1,8,0.75,2.12,keyword/regulator fallback ~12%; suppress n<10 cells
food_handler,2025Q2,4,0.5,3.0,keyword/regulator fallback ~12%; suppress n<10 cells
food_handler,2025Q3,5,0.6,2.8,keyword/regulator fallback ~12%; suppress n<10 cells
food_handler,2025Q4,2,1.0,1.0,keyword/regulator fallback ~12%; suppress n<10 cells
food_handler,2026Q1,6,0.667,2.33,keyword/regulator fallback ~12%; suppress n<10 cells
food_handler,2026Q2,3,1.0,1.0,keyword/regulator fallback ~12%; suppress n<10 cells
hvac_trades,2024Q4,1,1.0,1.0,keyword/regulator fallback ~12%; suppress n<10 cells
hvac_trades,2026Q1,1,0.0,5.0,keyword/regulator fallback ~12%; suppress n<10 cells
insurance,2024Q1,1,0.0,5.0,keyword/regulator fallback ~12%; suppress n<10 cells
insurance,2024Q2,1,0.0,5.0,keyword/regulator fallback ~12%; suppress n<10 cells
insurance,2024Q4,1,1.0,1.0,keyword/regulator fallback ~12%; suppress n<10 cells
insurance,2025Q1,1,1.0,1.0,keyword/regulator fallback ~12%; suppress n<10 cells
insurance,2025Q3,1,1.0,1.0,keyword/regulator fallback ~12%; suppress n<10 cells
insurance,2025Q4,1,1.0,1.0,keyword/regulator fallback ~12%; suppress n<10 cells
insurance,2026Q2,1,1.0,1.0,keyword/regulator fallback ~12%; suppress n<10 cells
osha_safety,2023Q1,26,0.269,3.54,keyword/regulator fallback ~12%; suppress n<10 cells
osha_safety,2023Q2,18,0.278,3.67,keyword/regulator fallback ~12%; suppress n<10 cells
osha_safety,2023Q3,17,0.235,3.76,keyword/regulator fallback ~12%; suppress n<10 cells
osha_safety,2023Q4,17,0.176,4.0,keyword/regulator fallback ~12%; suppress n<10 cells
osha_safety,2024Q1,19,0.211,3.74,keyword/regulator fallback ~12%; suppress n<10 cells
osha_safety,2024Q2,15,0.667,2.47,keyword/regulator fallback ~12%; suppress n<10 cells
osha_safety,2024Q3,15,0.533,2.73,keyword/regulator fallback ~12%; suppress n<10 cells
osha_safety,2024Q4,17,0.529,2.41,keyword/regulator fallback ~12%; suppress n<10 cells
osha_safety,2025Q1,9,1.0,1.22,keyword/regulator fallback ~12%; suppress n<10 cells
