month,median_reply_lag,reply_rate,n
2024-01,2.044,1.0,169
2024-02,1.934,1.0,126
2024-03,4.443,1.0,120
2024-04,2.754,1.0,122
2024-05,1.954,1.0,105
2024-06,2.486,1.0,89
2024-07,1.641,1.0,81
2024-08,2.836,1.0,80
2024-09,1.848,1.0,82
2024-10,2.8,1.0,67
2024-11,2.894,1.0,52
2024-12,1.977,1.0,65
2025-01,4.05,1.0,82
2025-02,1.924,1.0,73
2025-03,1.687,1.0,74
2025-04,3.02,1.0,81
2025-05,4.898,0.986,74
2025-06,2.293,1.0,83
2025-07,3.692,0.986,72
2025-08,12.949,1.0,83
2025-09,5.111,0.988,86
2025-10,9.115,0.986,73
2025-11,5.055,1.0,75
2025-12,12.029,0.957,70
2026-01,7.037,0.972,71
2026-02,6.863,0.957,70
2026-03,13.502,0.894,85
2026-04,20.126,0.574,61
2026-05,8.051,1.0,71
